استان,ایستگاه ,CO,O3,NO2,SO2,PM10,PM2.5,شاخص,تاریخ و ساعت
البرز,اشتهارد,25.0,50.0,52.0,29.0,19.0,48.0,50,1396/06/01 11:00:00
البرز,فردیس,42.0,54.0,52.0,21.0,80.0,105.0,105,1396/06/01 11:00:00
البرز,مترو کرج,40.0,50.0,38.0,27.0,52.0,59.0,59,1396/06/01 11:00:00
البرز,دانشگاه محیط زیست کرج,11.0,50.0,45.0,26.0,54.0,91.0,54,1396/06/01 11:00:00
البرز,فرمانداری ساوجبلاغ,46.0,50.0,37.0,27.0,52.0,54.0,54,1396/06/01 11:00:00
البرز,فرهنگسرا کرج,40.0,52.0,44.0,25.0,63.0,79.0,79,1396/06/01 11:00:00
البرز,فردیس,46.0,52.0,49.0,21.0,76.0,95.0,95,1396/06/02 11:00:00
البرز,مترو کرج,45.0,50.0,41.0,25.0,62.0,71.0,71,1396/06/02 11:00:00
البرز,فرهنگسرا کرج,39.0,50.0,43.0,24.0,63.0,79.0,79,1396/06/02 11:00:00
البرز,فرمانداری ساوجبلاغ,47.0,50.0,37.0,28.0,51.0,53.0,53,1396/06/02 11:00:00
البرز,دانشگاه محیط زیست کرج,11.0,50.0,45.0,26.0,57.0,93.0,57,1396/06/02 11:00:00
البرز,فردیس,42.0,50.0,47.0,21.0,73.0,92.0,92,1396/06/03 11:00:00
البرز,مترو کرج,53.0,50.0,48.0,20.0,79.0,92.0,92,1396/06/03 11:00:00
البرز,دانشگاه محیط زیست کرج,11.0,73.0,60.0,31.0,59.0,114.0,73,1396/06/03 11:00:00
البرز,فرمانداری ساوجبلاغ,46.0,50.0,37.0,27.0,52.0,54.0,54,1396/06/03 11:00:00
البرز,فرهنگسرا کرج,31.0,51.0,49.0,21.0,75.0,105.0,105,1396/06/03 11:00:00
البرز,فرهنگسرا کرج,37.0,57.0,51.0,23.0,74.0,102.0,102,1396/06/04 11:00:00
البرز,فردیس,40.0,47.0,44.0,21.0,69.0,85.0,85,1396/06/04 11:00:00
البرز,مترو کرج,42.0,50.0,44.0,23.0,67.0,82.0,82,1396/06/04 11:00:00
البرز,دانشگاه محیط زیست کرج,11.0,50.0,45.0,26.0,54.0,91.0,54,1396/06/04 11:00:00
البرز,فرمانداری ساوجبلاغ,46.0,50.0,37.0,27.0,52.0,54.0,54,1396/06/04 11:00:00
البرز,فرهنگسرا کرج,37.0,52.0,46.0,23.0,68.0,90.0,90,1396/06/05 11:00:00
البرز,فردیس,37.0,40.0,35.0,22.0,58.0,65.0,65,1396/06/05 11:00:00
البرز,مترو کرج,27.0,50.0,38.0,28.0,49.0,65.0,65,1396/06/05 11:00:00
البرز,دانشگاه محیط زیست کرج,11.0,50.0,44.0,25.0,58.0,94.0,58,1396/06/05 11:00:00
